source_file,annotator,sentence_id,sentence_text,token,start,stop,event_bio,event_bio_2,pmode_bio,pmode_bio_2
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",Ketika,0,6,B-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",pada,7,11,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",suatu,12,17,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",pagi,18,22,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",terbangun,23,32,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",dari,33,37,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",mimpi,38,43,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",buruk,44,49,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",",",49,50,O,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",Gregor,51,57,B-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",Samsa,58,63,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",mendapati,64,73,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",dirinya,74,81,B-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",telah,82,87,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",berubah,88,95,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",menjadi,96,103,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",seekor,104,110,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",serangga,111,119,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",raksasa,120,127,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",yang,128,132,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",menjijikkan,133,144,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",di,145,147,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",ranjangnya,148,158,I-change_of_state,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,1,"Ketika pada suatu pagi terbangun dari mimpi buruk, Gregor Samsa mendapati dirinya telah berubah menjadi seekor serangga raksasa yang menjijikkan di ranjangnya.",.,158,159,O,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",Ia,160,162,O,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",a,161,162,B-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",telentang,163,172,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",dengan,173,179,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",batok,180,185,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",punggungnya,186,197,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",yang,198,202,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",keras,203,208,I-process,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",",",208,209,O,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",dan,210,213,O,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",an,211,213,B-non_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",jika,214,218,I-non_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",sedikit,219,226,I-non_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",mengangkat,227,237,I-non_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",kepala,238,244,I-non_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",",",244,245,O,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",ia,246,248,B-stative_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",bisa,249,253,I-stative_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",melihat,254,261,I-stative_event,O,O,O
Metamorfosa_Samsa_-BI.txt,CURATION_USER,2,"Ia telentang dengan batok punggungnya yang keras, dan jika sedikit mengangkat kepala, ia bisa melihat perutnya yang cokelat berbulu dan berbuku-buku melengkung kaku di atas hamparan seprai yang tampak hendak melorot seluruhnya.",perutnya,262,270,I-stative_event,O,O,O
